,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Prior_based_cluster1,-0.11972218,0.24821654,-0.038603928,-0.12877251,-0.31452468,-0.5274088,-0.036488265,-0.20399459,0.06593146,0.13029556,0.19154473,-0.08118559,0.2725955,-0.11355508,0.13305579
LIMCH1,-0.11036189,0.18603238,0.03581354,-0.26456523,-0.18855028,-0.6300603,-0.015197652,-0.32815072,0.14230072,0.13318364,0.30530304,-0.09338825,0.384994,-0.04888219,0.22575504
EPDR1,-0.17354706,0.38440892,-0.2035614,-0.26281485,-0.31422523,-0.57857853,-0.14844692,-0.24669828,-0.08206831,0.15107745,0.063773274,-0.23287933,0.2619789,-0.18905813,0.05458877
PHYHD1,-0.14451133,0.3707369,-0.15156505,-0.1721572,-0.31984028,-0.52012986,-0.16790459,-0.26186693,0.13408789,0.19769576,0.22721696,-0.1376089,0.34019774,-0.16627479,0.22012012
Prior_based_cluster2,0.046820384,0.05313646,-0.2420121,0.29134187,-0.050079327,0.23808166,-0.019129455,0.25464377,-0.18384536,-0.08889638,-0.4327972,-0.011551324,-0.25164947,-0.21997993,-0.4185136
C6ORF132,0.05420644,0.13870163,-0.28897807,0.25006407,-0.11196708,0.080279514,0.009553652,0.20712228,-0.17772995,-0.15771405,-0.5024759,0.039026607,-0.37029395,-0.19082107,-0.53461564
ENPP5,0.0377313,0.10529784,-0.3363252,0.2860077,-0.072722666,0.25445503,-0.09643006,0.25785583,-0.17700551,-0.1125096,-0.48375165,-0.03514868,-0.2029657,-0.3050014,-0.48299894
PDZK1IP1,0.07809019,0.022762183,-0.2788575,0.3127513,0.0018253523,0.2611987,0.004999014,0.3017111,-0.22360025,-0.090183534,-0.4732548,-0.01833767,-0.32554036,-0.25935036,-0.4503894
Prior_based_cluster3,-0.06957159,0.07142098,0.19724031,-0.21700631,-0.04084007,-0.29740965,-0.08010205,-0.24159597,0.30637774,0.14929691,0.40392157,0.060993,0.2550483,0.101017416,0.36479783
BGN,-0.08002451,0.07609005,0.19133678,-0.2624039,-0.053264327,-0.3491993,-0.06340792,-0.29248324,0.31746447,0.20684995,0.47164708,0.022179691,0.30165988,0.10851328,0.44576818
JAKMIP2,-0.08229746,0.066296354,0.1642631,-0.28021488,0.008438273,-0.32475287,0.002686493,-0.28366533,0.26818764,0.2018093,0.52568585,0.016564483,0.23411275,0.12405583,0.48769888
CAVIN3,-0.0873891,0.07442442,0.20648341,-0.31899342,-0.024705466,-0.34760785,-0.03463681,-0.3040435,0.25603184,0.17781638,0.485201,0.036224768,0.27841964,0.15889339,0.43666965
Prior_based_cluster4,0.08423202,-0.17257677,-0.009646065,0.19413593,0.25966516,0.5681997,0.015465465,0.24043691,-0.0508416,-0.11643523,-0.22173195,0.096585326,-0.36489567,0.055206273,-0.21870056
KIF2C,0.12969764,-0.19070691,-0.08045653,0.16185927,0.3281139,0.5628004,-0.055227634,0.31756887,-0.11200839,-0.12443521,-0.3255783,0.072976544,-0.4135784,-0.044447426,-0.271026
MAGEA9,0.008535916,-0.22402374,-0.053426497,0.059188753,0.34913,0.44290558,-0.04814735,0.28925574,-0.1134447,-0.14338109,-0.2634194,0.21261008,-0.58035505,0.050030828,-0.22804175
AURKA,0.14753863,-0.27145413,-0.0888463,0.08523502,0.4156821,0.56099623,-0.041630354,0.1545974,-0.163544,-0.21101753,-0.30683538,0.065303944,-0.34664473,0.020868536,-0.29318768
Prior_based_cluster5,0.106208205,-0.07589783,0.216367,0.29994202,0.1099843,0.26481214,-0.10540174,-0.011173155,0.5179271,0.052329913,0.1571993,0.22835475,0.094528705,0.029993279,0.116522744
HBQ1,0.07409795,0.011338225,0.16396596,0.25720534,0.23231536,0.36049786,-0.31318277,-0.053217568,0.6650013,0.15327673,0.19963324,0.25054598,0.11585465,0.0060529993,0.18625459
