,0,1,2,3,4,5,6,7,8,9,10,11
Prior_based_cluster1,0.49914685,0.72252697,0.005980533,0.12946811,0.020010218,0.0062607597,0.04163726,0.045268334,-0.02159945,-0.030158293,0.005149273,-0.010507866
LIMCH1,0.7908686,0.67895734,-0.06246456,0.113817915,-0.03602711,0.09212665,0.08978188,0.076773696,0.009082635,-0.04595427,0.08414925,0.009960943
EPDR1,0.3494822,0.93663657,-0.14067519,0.044318985,-0.19922715,-0.02761622,0.009140134,0.07567333,0.04492144,-0.0012047312,0.018380536,-0.054281026
PHYHD1,0.5857022,0.8448073,0.082166724,0.05249361,-0.12956122,-0.052631427,0.03832584,0.09714901,-0.02879038,0.07272111,-0.019887619,-0.052438047
Prior_based_cluster2,-0.8123982,0.02116053,0.09784136,0.017350772,0.04940861,-0.051484838,0.012342656,-0.020770835,-0.010545986,-0.002672527,-0.007698061,-0.0065098624
C6ORF132,-0.8861505,0.14804594,0.08871161,-0.016095476,0.027757121,-0.0458545,-0.000104247905,0.00065747707,-0.011597551,-0.23965187,7.526283e-06,0.036381647
ENPP5,-0.90566003,0.11311788,0.12035994,-0.048364464,-0.004709024,-0.096865006,0.056511905,0.01207961,-0.009445338,0.042880345,0.02084617,-0.01921744
PDZK1IP1,-0.925802,-0.030515501,0.09126871,0.053696558,0.014225414,-0.008390604,-0.001008956,-0.018898798,-0.01004959,-0.012411249,-0.013187755,0.0038480202
Prior_based_cluster3,0.89779574,0.20278774,0.12208317,0.120172866,-0.019283408,-0.041563243,0.053572197,-0.013176625,-0.0010529322,-0.010154823,0.022907581,0.008999641
BGN,1.028948,0.25716892,0.10277754,0.14118387,-0.042679336,-0.011294073,0.032005858,0.016146092,0.012793364,0.026426764,-0.0029094808,0.0017207209
JAKMIP2,1.0345664,0.18752094,0.061021473,0.1861228,-0.0764069,0.019403934,-0.060249213,0.044319116,-0.017436238,0.015003828,-0.010856925,0.0054550315
CAVIN3,1.0412583,0.2200047,0.018720321,0.13876612,-0.055012953,-0.02269716,-0.0053295176,0.0085309725,0.0066352417,-0.017343052,0.013119384,0.0070918566
