,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
cluster1,-0.088898264,-0.84455127,0.06470986,0.12799424,-0.08971783,-0.07539106,0.2582021,-0.108174555,-0.022415334,0.062654704,0.0061917533,-0.10910768,-0.046879616,-0.09492882,-0.054479808,0.12109095,0.07877039,-0.027112488,-0.07927039,0.07859833,-0.05266017,-0.05497815,-0.003809702,0.079132505,0.024018247,-0.093298994,-0.07337342,-0.039721046,0.009727765,-0.06716625,0.026718307,-0.024438214,-0.006419706,0.022088569,0.013714702,-0.10002741,-0.0489123,-0.056649122,0.020461146,0.06661969,-0.007142358,0.00924074,-0.050747156,0.116932936,0.12028885,0.036637966,0.041022714,-0.007155774,-0.004415454,-0.07002724,0.056446645,-0.04214397,-0.06650548,-0.029208234,-0.078139156,0.09146269,-0.15566082,-0.12224428,0.072869346,-0.033659615,-0.034654003,-0.03548134,-0.014269081,0.016589375,0.016226118,-0.07575873,-0.095309496,0.09979536,-0.026382022,-0.004493768,-0.0027176375,0.13562827,-0.0058172247,0.025960976,0.07815155,-0.11474674,0.034749188,-0.0029924058,0.057015374,0.02786543,0.007076891,-0.030626822,0.11068929,0.03149773,-0.025502395,0.08277369,0.05301897,-0.0170227,0.007005447,-0.009893591,-0.044317078,0.058065042,0.010559754,-0.052276917,-0.01613395,0.0028047394,-0.024118872,-0.03417743,0.09870594,-0.021911453,-0.0055374806,-0.11044632,-0.034675386,-0.0009382651,-0.000807105,0.030983094,-0.003179455,-0.032827508,0.05970079,-0.01874221,0.056263875,-0.034130745,-0.084232256,0.10413604,-0.022364166,0.055702314,-0.042046838,0.02798987,0.03788115,0.034798186,0.0064470125,-0.023762813,0.082489565,0.0893443,-0.02096387,-0.03373058,-0.07760092,0.008097647,-0.05314771,0.061050054,0.003842432,-0.07948331,0.020407388,-0.015241918,-0.017676452,0.015403556,-0.03290842,-0.011690666,0.027678575
CYP2C19,-2.3167148,0.2601876,0.073267855,-0.08309575,-0.1723145,0.12487141,-0.0627461,-0.24944271,0.050422553,-0.14515421,-0.21188697,0.3704425,0.031256817,-0.13035235,0.3527317,0.037358735,-0.084166944,-0.33489788,0.2515607,-0.0007317799,0.051096544,0.30615678,-0.2020262,-0.11388642,0.13215213,-0.072703905,0.36522278,-0.43524826,0.13118854,-0.032841265,-0.040766764,-0.19147488,0.0151349045,0.07990678,-0.13217281,-0.02910238,0.09726947,0.3712855,-0.26784188,0.33713013,-0.16392218,0.01034321,0.25951073,-0.4006517,-0.44239578,0.7842572,-0.33933282,-0.03673399,0.23936827,0.23226206,-0.0727126,-0.52590096,-0.13015023,0.28323546,-0.025348045,-0.2587605,-0.117443435,0.49166283,-0.045146603,-0.35524598,0.032478083,0.12194628,-0.03178903,0.068824425,-0.050408315,-0.69917744,0.2669671,0.08869084,-0.3214233,0.16370955,-0.13302825,0.018052744,-0.0736433,0.03157902,0.40391192,-0.36923704,-0.28864983,-0.6080333,-0.13502839,-0.20882112,0.3010505,0.26506796,0.1836035,0.17070618,-0.002748572,-0.5481297,0.07530046,-0.3229086,0.18415463,0.07375137,0.14703912,0.13538752,0.39454204,-0.42070377,-0.004236308,0.115893655,0.2935628,-0.43729925,-0.008737796,-0.2791009,0.13911285,-0.17556615,-0.5759632,0.03705512,-0.5999229,0.1266456,0.2342731,0.051409278,-0.32963312,-0.31827906,0.12600783,0.44218567,-0.02137276,-0.10074904,0.07366031,-0.24177194,-0.21036732,0.1490679,-0.15726992,-0.28206688,0.09044133,0.258202,-0.5070858,-0.012261227,0.33249965,-0.1481443,-0.18087152,0.39915955,0.22505224,-0.309824,0.11808667,0.2457652,-0.17282821,-0.6344018,-0.19899936,0.1355343,-0.08175177,0.116143696,-0.045302786
CYP3A5,-2.1964345,0.03753522,-0.5322018,-0.0429829,-0.1040318,0.09411085,-0.09120994,-0.21607764,-0.063104205,-0.05132612,0.109019935,0.08626189,-0.23773718,-0.4190435,0.5120916,0.3473592,-0.08214988,0.0633056,0.29566237,0.23095979,-0.22644219,0.22719963,-0.38545832,-0.0576119,0.06350939,-0.23376654,0.08697196,0.3217018,0.049820416,0.27383783,-0.06514081,0.21246175,0.160805,0.098446086,0.2207429,0.17177235,0.20450737,0.26300555,0.20175219,-0.18530767,-0.28136328,0.15944308,-0.031689763,-0.4071446,-0.4452647,0.50412583,-0.29882658,0.1468155,0.24259754,0.10766659,0.23552425,-0.21875732,-0.1278034,0.13277772,0.4116857,0.09681426,-0.22617666,0.41290963,-0.09340426,-0.1841388,-0.026207475,-0.33420798,0.34177166,-0.061305925,-0.48937407,-0.47776243,0.2842467,0.22645764,-0.50686204,0.020875249,0.07390494,0.24225715,0.48184523,-0.11689088,0.32095483,-0.26271248,-0.083805256,0.038865644,0.23019968,-0.5596044,0.2776448,-0.00026023568,0.19433662,-0.12804826,-0.51342505,-0.44972154,0.0533955,-0.31714368,0.052833647,-0.20956577,0.6494944,-0.052643236,0.19817379,-0.18198015,0.17827539,0.14638834,-0.0022429093,-0.44033632,0.37275746,0.12732212,0.20014152,-0.31449595,-0.10971103,-0.058333684,-0.5690073,0.07698452,0.052890804,-0.031555038,-0.5698827,-0.3164458,0.20338212,0.11709989,-0.40090555,-0.55381256,0.035504047,0.03372892,0.18136872,-0.31487042,0.23505935,0.06831862,0.15067074,-0.028133566,-0.061656974,0.06797705,0.30844507,-0.34002087,-0.18154564,-0.014547638,0.25306252,-0.3337727,0.13760786,-0.32061052,-0.31924996,-0.30294657,0.26792502,-0.23307508,-0.19901705,0.07743869,-0.17293385
UGT1A10,-2.3228886,0.023990227,0.095767245,-0.33795384,-0.0038529187,-0.20904773,0.03049839,0.25079435,0.26120165,-0.54684335,-0.50685096,-0.40828666,-0.32379493,-0.03479634,-0.5058404,0.80473,-0.15223871,-0.027195593,-0.38418627,0.18664443,-0.32402927,-0.14088795,-0.35428786,-0.03159632,-0.44844422,0.42697394,-0.13898817,-0.21740505,-0.050130337,-0.34014142,-0.18611714,0.6664629,-0.060142994,0.28160647,-0.023389142,-0.045613244,0.16628583,0.21907383,0.38595322,0.23897263,0.36820894,0.08500169,-0.15214922,-0.053780127,0.4136167,0.020255806,0.24012665,0.4857876,-0.32280102,0.10842928,0.27118796,0.044580605,0.17267774,-0.21868381,-0.023557326,-0.07049283,0.10868038,0.501945,0.26684543,-0.02575171,-0.33041084,-0.3393981,0.21922342,0.34298128,-0.21756989,0.15428148,-0.07001567,-0.45881376,-0.06478419,0.32497096,-0.3002895,-0.4698187,-0.099859685,-0.36196178,-0.29148045,-0.29115185,0.05719451,-0.4256753,-0.104556344,0.21141227,0.51335394,0.23784216,0.24578924,0.36814377,0.058561902,-0.08682279,-0.14707592,-0.28628546,0.22214772,-0.70679617,0.84694093,0.32779643,-0.14671987,-0.34446386,-0.56785786,0.45298076,0.10572043,0.1539165,0.10596524,-0.29249352,-0.55451447,-0.07863887,-0.5164074,0.0827506,-0.5376845,0.51321846,0.053047583,-0.13801801,0.024267495,-0.459802,0.28398433,-0.38390654,0.11023938,-0.77132523,0.3112076,-0.3517289,-0.0892918,-0.13674739,0.4952625,-0.20539236,0.18730246,-0.32309142,0.4644874,0.5478317,0.21653084,-0.12586801,-0.2844861,0.6528024,-0.12819618,-0.2741747,0.38122264,-0.16463935,-0.062029116,-0.31943643,0.04698272,-0.3766767,0.21186388,0.10058673,-0.22681123
cluster2,0.13098112,-0.70073026,0.0053530117,0.14286563,-0.22240737,-0.03536813,0.14667319,-0.23440832,-0.06310968,-0.03982149,0.09135811,-0.017647034,-0.092659235,0.09310725,-0.073161215,-0.055880353,-0.02117642,-0.17827561,-0.02922931,0.028310813,-0.043331895,-0.07748915,0.024883248,0.046359655,0.020982526,0.08071209,0.09958454,-0.044111166,0.024026467,0.04253888,0.096714534,-0.07189066,0.12659279,-0.22698408,0.054007098,-0.0028174152,0.08363058,-0.050310127,0.1347653,0.0657608,-0.05088485,0.02110252,0.06694209,-0.040751874,-0.085967764,0.050378375,-0.037425593,0.075188376,0.17042692,-0.030063143,-0.059174977,-0.062456496,-0.13317665,0.059343345,0.10122576,-0.15753293,-0.02836288,-0.06727721,-0.16078994,0.004059081,-0.11325145,-0.080742925,-0.101444885,0.109763436,0.04235004,0.092715435,-0.065714605,0.06259728,-0.021883091,-0.1735722,-0.19866762,0.055485386,0.019104939,-0.20445424,0.044398554,-0.094193295,-0.058587637,0.06733275,-0.02243688,0.06039042,-0.07872996,-0.03156351,0.1382885,0.2071797,0.029161526,0.075152464,0.054355025,-0.06276206,-0.035340715,-0.08191789,0.010178537,-0.008611111,-0.16966087,-0.015800502,-0.24233468,0.08570302,0.036384556,-0.12407985,0.008725352,-0.14322028,-0.024203349,-0.13526317,0.07772998,-0.03165704,-0.031029116,-0.00091158197,-0.005854736,0.004314027,0.020576546,0.086871825,-0.0033532197,-0.05850814,-0.050956324,-0.0021847165,-0.014513703,-0.011116499,-0.10094083,-0.068941295,0.08898583,0.040527556,0.117107555,-0.033018425,0.03016944,-0.036146995,0.101883724,-0.030768128,-0.14892635,0.15590446,-0.05805323,0.09845695,-0.1235634,-0.047205273,0.019717583,0.015978754,-0.028811572,-0.09885078,-0.070960455,-0.020938395,0.049418285
GSTM3,-2.3187876,-0.31879064,-0.39621997,0.17960416,-0.32122296,0.10202098,0.22737896,-0.11411012,-0.17894052,-1.1666536,0.33549565,0.49680683,0.23736739,0.5359694,0.38977772,-0.010877834,0.35843268,-0.7362103,0.46357965,-0.38973308,0.1927516,0.6583662,-0.084798075,0.5383232,-0.2328052,-0.05281685,0.9920142,-0.58643496,-0.9054808,0.27314767,0.2904614,0.13243584,-0.3973836,0.5685581,0.27640516,-0.93725646,0.75004977,-0.08682651,0.75130236,0.43507022,-0.31762794,-0.3915312,0.42864695,-1.3485279,0.5501108,-0.0055138054,-0.14013487,0.45531622,0.59070116,-0.6318271,0.07738116,-0.11915924,0.10383228,0.60326254,0.7300129,-0.6901829,-0.17900053,-0.30930397,-0.6700419,0.16860154,-0.3360115,0.34900063,0.3230752,0.24653322,-0.26118487,0.22015391,0.28390557,0.6544434,-0.44231975,-0.6494089,0.36942834,0.22282928,0.5010715,-0.4477606,0.32540724,-0.45693794,0.14140676,-0.25026798,0.27373332,0.23254222,0.16725598,0.12779605,0.6485602,0.015276917,-0.15612379,-0.15182449,-0.18877058,-0.5326446,-0.054719444,-0.37180957,0.28785944,0.13843961,-0.011766364,0.3551901,0.11323002,0.076979525,0.12227529,0.11128089,0.7553949,0.06072102,-0.260432,-0.39875928,-0.20268396,-0.36375046,-0.43893012,0.19457741,0.0063264626,-0.24061657,-0.085881256,0.50361735,0.85329753,-0.10933182,0.08981736,0.06018167,-0.38197798,0.06001486,0.3514267,-0.26516727,-0.0016871743,0.0900901,-0.2574414,0.2024766,-0.17020437,-0.3502536,0.37726492,0.16644457,0.3360428,-0.053603057,-0.041293845,0.13388349,-0.06035572,-0.1499486,0.13796856,0.052598804,-0.17773706,0.09887186,-0.0076586325,-0.51088667,-0.38101348
CYP2E1,-1.947976,0.078439854,0.0901707,0.12281648,-0.43280625,0.23243915,0.10771672,-0.16339098,-0.1193272,-0.31429368,-0.25514305,0.06710566,-0.18069488,-0.38138616,-0.05496399,-0.2191584,-0.011660678,-0.23966433,0.16926481,0.058104914,-0.25585818,0.27879518,-0.49227536,0.07676721,0.5478355,0.2583517,0.09979389,-0.24612212,-0.04448554,0.09346075,-0.12469157,-0.058849905,-0.042330753,-0.2665576,-0.5656833,-0.38611203,0.21290506,-0.17850073,-0.14917095,0.22336109,-0.022921033,0.24885768,-0.09332655,-0.18426442,0.025032546,0.055468418,-0.057021655,-0.015962377,-0.19042721,0.21090636,0.07638464,-0.33782554,0.04337028,0.3240415,0.41158643,-0.56206924,-0.62933046,0.69616073,-0.20905213,-0.5954718,-0.7237363,-0.017093526,-0.6684861,0.14813598,-0.079206705,-0.24343446,0.016559863,0.015178554,-0.023558127,-0.023942992,0.20686519,-0.2940289,0.06959216,-0.2672014,0.21427235,-0.5425109,-0.16752452,-0.309598,-0.2594032,-0.28645018,0.24309745,-0.3030269,0.15743783,0.4163457,0.27904296,-0.38130328,0.04176165,-0.40126744,0.15407364,0.16171996,0.093650006,-0.01710839,0.34210378,-0.35064968,-0.29724246,0.20943737,0.10167342,-0.61203474,0.27020276,-0.25478148,0.64107645,0.16868415,0.25642046,0.05008988,-0.69525385,0.26920107,-0.1157249,-0.13006453,-0.07509567,-0.37372762,0.35208678,0.032034494,0.063087456,-0.115994155,-0.49232137,-0.40031877,-0.3228944,-0.27520734,-0.31161958,0.053306323,-0.0063311644,0.17147654,0.09505839,0.17566858,0.57628465,0.14550297,-0.67963725,0.5206791,-0.3903338,-0.60590893,0.25743094,-0.40265682,-0.26455703,-0.5730358,-0.16242276,0.18340187,-0.035124607,-0.19106218,0.15581839
GSTM4,-2.281665,-0.041867897,-0.26402166,-0.4597704,-0.52289,-0.7597639,0.08353951,-0.64583814,-0.24246037,-0.53455865,0.3156892,0.80481803,-0.5425531,-0.23952729,0.3467708,0.084111154,-0.16054155,0.590701,0.6276632,-0.32194602,0.6933187,0.051430468,-0.70944357,-0.10983709,0.111036636,0.4724155,1.0309961,-0.76191485,-0.6389654,0.038097803,-0.057579987,-0.6777226,-0.1992948,-0.3166958,0.7502753,0.24680032,0.18364003,-0.0862472,0.4082519,1.2841012,0.23599991,-0.4839977,-0.05127031,0.0696707,0.5289515,-0.27870482,0.018679926,0.18236068,0.1604965,-0.64266294,0.17307982,-0.40391213,0.19448937,-0.4696792,-0.036579512,-0.41812825,-0.089951076,0.23328832,-0.43844798,-0.47388163,-0.3231181,-0.26357827,-0.4599386,0.50844926,-0.9015723,0.23279552,0.3326652,0.21956776,-0.82108754,-0.27185613,0.062506735,0.28966656,-0.3677627,-0.23386544,-0.6456644,-0.9551272,0.29283825,-0.102402695,-0.31427774,0.45441332,0.3954151,-0.30657488,0.08356649,0.30187792,-0.27343446,-0.12562937,-0.2704886,-0.39155447,0.075124346,-0.0964138,-0.107796915,0.2835397,0.03665961,0.3045434,-0.04988547,-0.41512197,0.0067263423,-0.25557148,0.5202739,-0.28807297,0.08576128,-0.2084657,-0.5863128,-0.75438595,-0.04131124,0.006553483,0.20699179,-0.31193072,-0.6046225,0.1641285,0.23231228,-0.521559,0.35084447,-0.8715449,0.2098964,-0.24085303,-0.44446453,-0.15283976,0.39361817,0.36533156,-0.43214843,-0.30291793,0.89126176,0.44621944,0.93975073,-0.104153305,0.42280754,0.5716453,-0.08762671,0.09659739,-0.07178862,0.47056082,-0.03360092,-0.56130564,0.19071999,-0.057273086,-0.0891531,-0.050165836,-0.118228346
cluster3,0.3322411,-0.15863797,0.03341374,-0.013047603,-0.21592273,-0.15250605,0.21023302,-0.15745455,-0.08096153,-0.052146602,-0.017710278,0.13847901,-0.04138738,0.14166458,0.11688762,0.010213299,-0.21060832,-0.19601925,0.12561086,-0.0019497722,0.07485735,0.09327564,-0.008149746,0.034300685,-0.007185347,0.0341114,0.083707355,0.0954265,-0.10135248,0.0060171797,-0.038956173,-0.07035037,-0.018123355,-0.3093313,0.068742156,-0.012829136,-0.025201797,0.11271277,0.13823746,0.14886142,-0.024695998,0.15878838,0.10566774,-0.08533875,-0.105754405,0.06957657,-0.3433342,-0.0062067765,0.020672275,-0.01810505,-0.3007879,0.04921322,0.0804676,-0.07258816,0.13464971,-0.20752954,0.024586672,0.06738275,-0.23205887,0.16603847,-0.017593628,0.080152385,-0.1059606,0.025921399,-0.10325638,-0.01452678,-0.06853803,0.0044942386,0.046943296,0.017119462,-0.15202625,-0.2023346,0.02758474,-0.07498564,-0.06596785,-0.06744371,-0.032240715,0.077197865,0.017669426,-0.039424993,-0.11498759,0.12847456,-0.08818975,-0.12295998,0.017017327,0.07335769,-0.09078372,-0.10766903,-0.16747884,-0.074024096,-0.19328487,0.13161819,-0.066182844,-0.012161673,-0.007421252,-0.055138063,-0.049252745,-0.22161107,-0.06614656,-0.09277781,-0.07096067,-0.044923995,0.109064855,0.10340788,0.076871715,0.07505003,0.00073893863,-0.017908126,-0.039515365,0.1359206,-0.0055554076,-0.057126697,0.095658965,-0.0008321318,0.042165786,0.098065615,0.05397622,-0.0817909,0.011774848,0.034631312,0.04001981,-0.06239803,-0.18705058,-0.04988346,0.026905047,-0.036513563,-0.09863439,0.088848285,-0.15842271,-0.021820165,-0.08572558,0.061801773,0.09314686,-0.105568916,-0.04980555,-0.0018064389,0.05584735,0.13318805,-0.1908521
PLCG1,-2.533553,0.0626287,-0.045500994,0.5882599,-0.3407777,-0.035864204,0.70934355,-0.007580906,-0.3471234,-0.13487072,-0.18518111,0.23570599,0.24044164,-0.19546376,0.03645508,-0.004482003,-0.27434337,-0.88385683,-0.5955289,-0.12638552,0.10972785,-0.5106181,0.4345498,0.48552847,0.27111155,0.015999794,-0.13813071,-0.26082525,0.5490118,0.23147711,-0.08252911,0.64970565,0.6056129,0.06992573,0.20275658,0.44693547,-0.19325517,-0.040870637,0.63917005,0.14826119,-0.2943058,0.1277433,-0.5433836,-0.09636396,-0.126389,0.24297398,0.10219771,0.09460473,-0.4327893,0.3495696,-0.4200417,0.2941749,-0.09405664,-0.91763365,-0.32864887,0.05761775,-0.65712136,-0.012059461,0.2781731,0.082546115,0.97115105,0.11373022,-0.6453306,-0.12508275,0.32697225,0.1256541,0.0018738806,0.5973649,-0.020762542,0.39341465,0.20657267,-0.4198315,0.044241726,0.40576664,-0.35096622,-0.38903546,-0.3630877,0.32916605,0.11797149,-0.4129496,-0.075598575,0.4589401,-0.5912199,-0.094601914,0.5434292,0.1439327,-0.9222228,0.10139924,-0.54100466,0.24826455,-0.41751897,0.15996377,0.3628312,-0.17295495,0.30983454,-0.8904677,-0.5805749,-0.42609417,-0.31536597,0.26023555,-0.5196094,0.00486546,-0.08182966,0.2545441,0.1518184,-0.3917609,0.22798875,0.54779106,-0.04064247,0.3699467,-0.01116392,0.43176463,0.5044924,0.24271484,-0.25267243,0.71867067,0.7008479,0.5259865,0.31225285,0.4575002,-0.18722208,0.08189314,-0.75330967,-0.19492614,-0.2887385,-0.15210806,0.5094455,0.20616217,0.17335705,-0.17399585,0.2422768,-0.067933775,0.118316084,0.101410836,-0.6707245,-0.21371415,0.4161959,-0.27346262,-0.07418933
