,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
cluster1,-0.017744323,0.07403353,-0.111619934,-0.15345655,0.037744444,-0.088125154,-0.11094794,0.13786781,0.02588049,-0.030741107,0.09754304,-0.018730858,-0.035329793,-0.16857521,-0.13045485,-0.0826027,-0.0001668462,0.03433027,0.017199706,0.10682542,0.0795473,-0.2564166,-0.093496,0.1743528,0.1433517,-0.16171569,-0.10492431,0.06537217,0.1776834,-0.09718288,0.06611712,0.20690352,0.08122237,0.08142482,0.011417218,-0.06612456,-0.0018974408,-0.12134467,-0.048041433,0.093388766,0.005060196,0.22106299,0.04077366,0.16000406,-0.015017419,0.05022919,-0.15349135,-0.029826414,-0.042531308,0.0036530793,-0.06356764,0.13355681,0.004084847,0.09169935,0.07699105,-0.09968679,0.05417152,0.03561425,0.007621658,-0.01155344,-0.012265849,-0.24993245,0.035665546,0.0042423853,0.097386934,0.010967937,-0.03205565,0.083978675,-0.13755031,-0.010762818,0.059406463,-0.1659855,-0.034824453,-0.014350575,0.10718965,0.041907225,-0.029412264,-0.2562425,0.06643072,0.13112085,0.12150975,-0.09700826,-0.14094861,0.12646395,0.15726328,-0.045243833,-0.2547883,0.14056292,0.076394945,-0.11400956,0.22087087,-0.017934958,-0.12823309,-0.043814585,-0.027062347,0.006173318,0.0132465325,-0.081865065,-0.089383006,0.0330244,0.08862817,-0.09055518,-0.019383471,0.14868253,0.014625144,0.011337426,-0.014283934,0.107047565,0.023105929,-0.16515435,-0.008548258,0.04285175,0.03975292,-0.043620784,0.14737363,0.06407006,0.141097,0.0067274347,-0.22804914,-0.017791029,-0.029502822,-0.08500963,0.12368283,-0.085445866,-0.0032861682,0.14743607,-0.004781402,0.06899209,-0.040585794,0.10346488,-0.021042597,-0.13164929,-0.14804128,0.17071491,0.1788575,0.056914236,0.048680887,0.040551826,-0.08496949,-0.022836305,-0.025231497,0.02357657,-0.016883329,-0.19430651,0.013347775,-0.017341932,0.069541566,0.06781633,0.058275077,-0.045691613
Metabolic pathways,-0.031143095,0.19000046,0.026481576,-0.1740388,-0.07966818,-0.103841186,-0.17459431,0.10093575,-0.0019051154,0.065927975,-0.006864534,-0.1030199,-0.112183556,-0.18932848,-0.10584301,0.058471117,-0.005372727,0.1561362,0.012690791,0.11708688,0.121298544,-0.16066134,-0.07002438,0.029933441,0.27051815,-0.11801699,-0.19337878,0.060098127,0.10903289,-0.050058633,0.15151662,0.03981098,-0.016019039,0.10157612,0.08243257,0.019656485,-0.06142426,0.018640976,-0.18353395,0.18189608,0.1319111,0.14045748,0.18571025,0.08080122,0.004432206,0.052186504,-0.0417179,-0.2323099,-0.17404886,-0.012625579,-0.0010963898,-0.09097562,0.040936574,0.034674723,0.22016312,-0.052464228,-0.01933599,-0.022343567,-0.13125174,-0.07988307,-0.008894456,-0.13402115,0.1539098,0.02143477,-0.025282733,0.14392814,-0.0571039,0.025569342,-0.1834435,-0.009522938,0.11314097,-0.14303167,-0.11786461,-0.009793296,0.30488503,-0.021663442,0.066885374,-0.057659764,0.07543023,0.006874489,0.0836668,-0.13976814,-0.13239767,0.039535653,0.107364,-0.003786126,-0.1962902,0.12962505,0.04502129,0.030841026,0.211803,0.11499409,-0.14310339,0.08497139,-0.013622136,-0.33473745,0.035715185,-0.06535575,-0.13552952,0.12148371,0.12891652,-0.123352796,-0.10899482,0.31011483,-0.03488697,-0.020003388,-0.051785816,0.25741717,-0.047507297,-0.133615,-0.116908304,0.082976446,0.04095567,0.090681165,0.06057704,-0.15824747,0.23334612,-0.048936646,-0.23389599,-0.08954939,0.0046161045,-0.14891726,0.21921101,-0.03620858,0.15315664,0.14572383,0.102030866,0.11205076,-0.06569213,-0.0467102,0.13178605,-0.08296414,0.10073063,0.30040032,0.16629535,0.1344239,0.114256725,-0.035738777,-0.111637846,-0.04102738,0.0027282366,-0.07729222,-0.21863082,-0.1441453,0.17298864,-0.042008407,-0.07570918,0.05074624,0.11851307,-0.11452532
metapathway biotransformation,-0.24025477,0.30950877,0.030825853,-0.32418883,-0.30209872,0.020510009,-0.27525467,0.12704827,0.009990385,0.1335322,0.061385676,-0.043592904,0.103371754,-0.34916073,-0.08596847,-0.051530264,0.08813662,0.097664185,-0.014591118,0.13960464,0.1747919,-0.2767691,-0.1797428,0.25259632,0.37784487,-0.28139326,-0.15463056,0.091227554,0.23490962,-0.08108356,0.27095833,0.1718144,-0.114281535,0.23584285,0.14869155,0.30277312,-0.19186306,-0.030877925,-0.19437045,0.14215066,0.23030764,0.13148531,0.14852375,0.072769664,-0.039304927,0.08134673,-0.009798953,-0.2630595,-0.0761715,-0.19953065,-0.11766467,-0.07319893,0.178217,0.027685873,0.33039445,-0.10564243,0.03152944,-0.020698253,-0.11796356,-0.09783719,0.13355026,-0.292991,0.2129074,0.14279473,0.06465217,0.21350327,-0.1704367,0.11304289,-0.32152286,0.14312577,0.1377994,-0.20019874,-0.14600539,0.008880641,0.33611253,-0.006449691,0.15219508,-0.28309247,0.061441768,0.14560643,0.07957168,-0.08383773,-0.14158954,-0.016562564,0.1323806,-0.049983885,-0.22831385,0.10978722,0.08824381,0.1723712,0.15160616,0.12605289,-0.26594955,0.11657829,-0.051735543,-0.3468326,0.011185163,-0.056398377,-0.10424401,0.25217575,0.21556838,-0.25797877,-0.1723215,0.30208948,-0.01717346,-0.062225793,0.08394607,0.34513313,0.025308525,-0.07494795,-0.06105788,0.13774718,-0.058674645,0.027564632,0.078138724,-0.15291406,0.21084574,0.031030541,-0.41626754,-0.06444366,0.12575883,-0.24771692,0.34612137,-0.058791663,0.11639317,0.048998553,0.0535856,0.15015806,-0.20341818,-0.107715994,0.14149776,-0.009248265,0.11924278,0.28416136,0.057745807,0.12936577,0.20031053,0.04145149,0.0028793984,-0.11410803,-0.1186278,-0.20490108,-0.308707,-0.15634516,0.1559372,0.046483077,0.060815647,0.15580961,0.086725704,-0.105577014
Fatty acid metabolism,-0.0102585675,0.31251854,-0.110435374,-0.22936654,-0.013073585,-0.1581289,-0.058637675,0.21500136,-0.0034428423,0.15752864,0.039052382,-0.13834648,-0.1666456,-0.12633461,-0.09597354,-0.11796574,-0.27501637,0.24213666,-0.16376042,0.42640275,0.12004967,-0.5427112,-0.124132305,0.09770825,0.3219984,-0.28438848,-0.1531462,-0.22362803,0.018320031,-0.3251676,0.28337407,-0.102561615,0.0767562,0.035628695,0.16311747,-0.026458291,-0.19263029,-0.11818692,-0.3552418,0.34138915,0.25489065,0.084243305,0.33093145,0.37079555,-0.21748608,0.018847317,-0.13600428,-0.31451297,-0.37905172,-0.13180204,-0.12414022,-0.12799023,-0.13216043,0.31110838,0.32136202,-0.08215015,0.20675811,0.022416012,0.17407902,-0.10963102,0.04919158,-0.14163263,-0.044362698,-0.05318691,0.0106292125,0.12910321,-0.06184962,-0.14830326,-0.1579478,0.037564673,0.17957173,-0.2628608,-0.2360888,-0.110025495,0.40603095,0.07508838,0.28397796,-0.10140249,0.30812633,-0.03705512,0.19792272,-0.15311635,-0.30201736,0.06997729,-0.01169014,-0.042324934,-0.22050808,0.23751894,0.026629442,0.029170584,0.4983673,0.18606871,-0.0071896086,-0.004891057,0.17952344,-0.34331164,0.12566182,-0.054071877,-0.1949184,0.3275866,0.10669058,-0.05069102,-0.18005158,0.47503006,-0.1545682,0.032584723,-0.14199038,0.27520868,0.02080082,-0.2072176,-0.036579583,0.17478417,0.06311505,0.094530866,-0.015665881,0.011129409,0.21157412,-0.19885601,-0.32136533,-0.23601928,0.11673494,0.026777511,0.2871691,0.22959803,0.3589483,0.3021452,0.2168979,0.041735973,-0.19868398,-0.08962958,0.2967925,-0.06310653,0.15136983,0.29236457,0.32269108,0.27429163,0.04133189,-0.06384463,-0.042498708,0.037845373,0.047823653,-0.17336613,-0.21126436,-0.3402759,0.29336214,-0.13751839,0.13642378,0.36214063,0.0596205,-0.30571237
cluster2,-0.04067766,-0.002267222,-0.2605757,-0.088391095,-0.15059483,-0.044021204,-0.042238917,0.09802393,-0.0209273,-0.021977108,0.1648112,0.014377592,-0.07001898,-0.17150053,-0.012203355,-0.008214554,-0.13015234,-0.025243163,-0.06737171,0.22391368,-0.013740008,-0.16311981,-0.09415049,0.15545799,0.08914217,-0.052543722,-0.14525191,-0.031312604,0.25856853,-0.0021777498,0.0047651906,0.12403417,-0.13471533,0.2342026,-0.11702808,-0.051561788,0.0136792,0.040205617,-0.2321303,0.037421484,0.1568583,0.032978084,-0.046853237,-0.022001876,0.04324957,0.06798963,0.016020345,-0.16192998,0.01494426,-0.021413527,-0.055881765,0.0667319,0.027282111,0.002263553,-0.0011563513,-0.06189837,0.020430021,-0.037518837,0.05349277,0.10542831,-0.15920052,-0.11636301,-0.19214967,0.14822307,0.08870788,0.026304694,0.06822034,0.1776813,-0.067401215,-0.18391547,0.0040453356,-0.20313495,-0.11933922,-0.08615441,0.20479347,-0.005588112,-0.08186888,-0.14231068,0.083904676,0.21194029,0.042549115,-0.011403694,-0.17446584,-0.0011773331,0.06201436,-0.1953315,-0.061768737,0.084523186,0.083130434,-0.22121061,0.067586884,0.1580105,-0.07408026,-0.07839123,-0.09150295,-0.013286028,-0.012327225,-0.09525165,-0.049873207,-0.066148296,0.0002528773,-0.17478159,-0.015103323,0.27626932,0.050166905,0.026096467,-0.07484642,0.14442499,0.19123246,-0.1468391,0.04489241,-0.056090254,0.023263289,0.15383166,0.102892965,-0.02315201,0.08272215,-0.108526334,-0.16261372,0.0017584929,-0.11750103,-0.024143385,0.03764744,-0.051890373,-0.00094838213,0.17312686,0.0071516987,-0.048157953,-0.01288308,-0.093209416,-0.12630206,-0.07752161,0.07511154,0.029569613,0.14105038,0.01652541,0.010974436,-0.05863659,0.010193621,-0.0735521,0.00047978817,0.031154435,0.10746991,-0.05864145,0.05952602,0.16952763,-0.054595836,0.14007904,0.1648337,-0.07597701
Acute myeloid leukemia,0.106179245,0.3285176,-0.13428287,-0.44146085,-0.21606103,-0.347122,-0.020481473,0.03887896,0.12654291,0.20543852,0.02520666,-0.2738994,-0.13299158,-0.33252817,-0.29749227,0.09764692,-0.112981476,0.17351918,-0.17263187,0.2618055,0.17260253,-0.15006539,-0.069491774,0.16621187,0.32326478,-0.1373638,-0.32722652,0.18141937,0.10337295,-0.17394316,0.3495778,0.28139195,-0.044171926,0.2555968,0.14446715,0.013440367,-0.25989997,0.02293901,-0.31210238,0.22044617,0.1991203,0.19889748,-0.062299047,-0.048347395,0.15892006,-0.11793781,-0.16015576,-0.18344504,-0.11172499,-0.16817571,-0.16847523,-0.1682691,-0.039656255,0.08982347,0.24986188,-0.19400944,-0.055848584,-0.21496809,-0.3266917,-0.08549048,-0.11181654,-0.19821595,0.10352822,0.024022508,-0.08874614,0.39724427,0.025001321,0.10198978,0.004587181,-0.06855762,0.1626205,-0.4198823,-0.55988073,0.17696975,0.59433186,-0.056020033,0.15205209,-0.10611931,-0.08340516,-0.20180683,0.036656473,-0.34447762,-0.21197055,0.056192417,0.054764356,-0.23504974,-0.2920715,0.05328986,-0.20044927,-0.030275255,0.2090564,0.3046427,-0.4214076,0.103656396,0.12749104,-0.27810803,0.23568733,-0.016038196,-0.11255514,0.04089178,0.09740319,-0.1492434,-0.25008014,0.3254216,0.08655508,0.052787814,-0.05366023,0.37052834,-0.10615236,-0.11913994,-0.13370183,0.15843822,-0.09150177,0.17421614,0.30961636,-0.14342515,0.34577486,-0.19498451,-0.46646217,-0.16487151,-0.12896048,-0.07001601,0.1163368,0.0517842,0.1810069,0.111787476,0.0987166,0.22203423,0.015155136,-0.24736601,0.20375757,-0.20923594,-0.015190861,0.22269431,0.2709318,0.2852721,0.029006714,-0.19681716,-0.35701483,-0.13936019,-0.13901924,-0.02717028,-0.39413223,-0.13507746,0.11464617,0.04361132,-0.145027,0.10708672,0.2260305,-0.28045014
Myometrial Relaxation and Contraction Pathways,-0.059260003,0.17403772,-0.027597776,-0.35215327,-0.09802499,-0.29687235,-0.1976634,-0.04881342,0.1297325,0.104845606,0.046658624,-0.015574685,-0.12576964,-0.2741292,-0.11891634,0.09108694,-0.054903,0.09048647,-0.14589952,0.068662114,0.13348223,-0.1423606,-0.039049406,0.11318307,0.20694463,-0.09062878,-0.19927932,0.065145865,0.10471632,-0.23111983,0.20719399,0.15591423,-0.104609035,0.082417786,0.07829122,-0.010315635,-0.1019763,0.10034516,-0.23881446,0.13486281,0.21781744,0.13793454,0.14267632,0.04058573,0.073881045,0.024319978,-0.018910201,-0.2399577,-0.15004757,-0.06571573,-0.03755812,-0.09260436,0.05167166,0.06343832,0.13931549,-0.11030151,-0.15266208,-0.024757793,-0.10551135,-0.14557014,0.034325577,-0.20587766,0.12810281,0.029503468,0.02621318,0.21059349,-0.016532164,0.04646153,-0.11339133,-0.11508774,0.12709081,-0.34265408,-0.26901454,0.019391436,0.48090836,-0.07821574,0.19670776,-0.056125876,-0.14468849,-0.027505573,0.08246263,-0.264339,-0.24849342,0.055368837,0.11792443,-0.10258967,-0.19453438,-0.05195818,-0.09448405,-0.06863252,0.2971642,0.23132889,-0.32108068,0.11069512,0.04441708,-0.27007467,0.02033342,-0.14252105,-0.020053813,0.09411476,-0.031176405,-0.12140194,-0.20783356,0.39590502,0.040938467,-0.04885876,-0.0159257,0.3012988,-0.12698033,-0.14649667,-0.05584522,0.047553,-0.0038929924,0.14347892,0.0037885183,-0.20447664,0.265337,-0.08521687,-0.23475416,-0.19709288,-0.058773685,-0.11786556,0.082620576,0.007017691,0.031394802,0.1427494,0.008415859,0.16325186,-0.016932258,-0.1408616,0.21143846,-0.2025434,0.13653776,0.3089257,0.28118926,0.2515735,0.12566704,-0.03989592,-0.17592241,0.012709017,-0.051030386,-0.085507795,-0.37138587,-0.17450607,0.15777636,-0.03575834,-0.18002723,-0.045548346,0.2364161,-0.06270596
Pathways in cancer,0.06659146,0.31185627,-0.042463686,-0.31493425,-0.16112594,-0.20485882,-0.047619496,0.08532582,0.15562391,0.206988,-0.016581861,-0.17729259,-0.17670812,-0.26814,-0.1446272,0.09964054,-0.06577532,0.21440496,-0.07983978,0.18187577,0.14655495,-0.102539584,-0.096524544,0.048492797,0.1902442,-0.090715624,-0.28838632,0.07950824,0.16913837,-0.107266985,0.26712504,0.13694541,-0.039949715,0.13873595,0.1367622,0.02207526,-0.11974707,0.030781087,-0.23992151,0.18322828,0.16459791,0.11231552,0.027889831,0.06781282,0.09818511,-0.042733006,-0.08279059,-0.17536293,-0.15621057,-0.08597402,-0.11168244,-0.15120797,0.08565066,0.07219704,0.22365013,-0.1731708,-0.0011301254,-0.109073654,-0.16668448,-0.07728368,-0.11354403,-0.14246626,0.10723395,0.016280318,0.059080187,0.25708485,-0.015027674,0.12590978,-0.15351422,-0.0334601,0.13142064,-0.26186186,-0.35493475,0.10700464,0.40653637,0.0030223362,0.11896823,-0.12848686,-0.10333609,-0.111310795,0.044207558,-0.17587477,-0.14848706,0.041245077,0.057897266,-0.18421726,-0.15429428,0.012657099,-0.0350367,-0.053029466,0.18306045,0.31220755,-0.24820077,0.08713107,0.033405207,-0.31287783,0.17820625,0.041408353,-0.049354326,0.015504559,0.07023678,-0.08532056,-0.28616133,0.25685683,0.0092973905,0.01069817,-0.09349726,0.32713896,-0.086590916,-0.075425856,-0.19045182,0.1842549,-0.011917073,0.205537,0.1131488,-0.16165715,0.3064743,-0.09863538,-0.29036364,-0.16956986,-0.04242201,-0.09449063,0.23211318,0.021718245,0.1944722,0.08362875,0.073119655,0.11067639,0.002274301,-0.11949441,0.18179958,-0.15040486,0.090197176,0.16658561,0.11994228,0.13974269,0.13073707,-0.089077935,-0.183984,-0.069883496,-0.03193436,0.02795907,-0.41181117,-0.15752907,0.12537746,0.01936667,-0.07080943,0.053993896,0.19851457,-0.13546799
cluster3,-0.13496727,0.084614106,-0.15031005,-0.062379867,0.049394686,-0.031996068,-0.005206991,-0.14281763,0.11159406,0.03135271,0.10531714,0.008342702,-0.07875941,-0.18300195,-0.07010306,0.11237553,0.010210614,0.16372174,-0.2162323,-0.02415842,0.04572102,0.0002916488,-0.06670188,0.025052711,0.0225314,0.009009159,-0.18657659,-0.08690535,0.051833082,-0.071597256,0.13847797,-0.008051743,-0.17271094,0.16679652,0.022033654,-0.031800576,0.033082772,0.26895234,-0.21003006,-0.14258063,0.14853029,-0.11866802,0.039608855,0.031239226,0.20309146,-0.17202772,-0.082572654,-0.14370653,0.063751206,0.056366105,-0.06174838,-0.057930097,0.17585965,-0.106182784,0.16217129,-0.022597713,0.1294222,-0.035341438,0.20903201,0.10206434,-0.031155923,0.011252195,-0.037638493,0.023289496,0.08510893,0.13937548,-0.09933999,-0.0040500336,0.05172648,-0.15530369,0.052516308,-0.08270935,-0.09894189,-0.05924994,0.41197047,-0.10262223,0.14421174,0.0349112,-0.18317007,0.05309242,0.013004646,-0.08832103,-0.07904539,-0.10813553,-0.08539996,-0.08371546,0.16318701,-0.018085659,0.09321192,-0.10679287,-0.051486697,0.0006662148,-0.19065647,-0.056630757,-0.102065444,0.059338912,0.1377004,0.18620388,-0.056547835,0.001150709,-0.080900334,-0.21609183,-0.31772205,0.2561531,-0.02235468,0.20421678,-0.050022487,0.070738465,-0.028688228,0.1287371,-0.04289211,-0.10612426,-0.007925462,0.13147245,-0.043892186,-0.12836659,0.13177496,-0.09853425,-0.070817314,-0.057944924,-0.16651861,0.023500472,0.027224228,-0.058662813,-0.083217695,0.15064122,0.10655031,0.027428553,0.101836,-0.24768102,0.010446864,-0.10210204,0.19685893,0.017776214,0.023750553,0.020664593,0.07899234,-0.124509625,-0.06263854,-0.049040318,-0.12296408,0.038817305,-0.10175449,0.0021937417,0.12481049,0.15592317,-0.0814349,-0.0009873826,0.21899778,0.13876799
B cell receptor signaling pathway,-0.11408868,0.21678944,-0.2066097,-0.36044738,-0.25555253,-0.23681405,-0.033853136,-0.06810304,0.17634985,0.053173333,0.10717298,-0.16027504,-0.18567887,-0.24282168,-0.2909319,0.101490416,-0.10446161,0.15391816,-0.1644158,0.09208891,0.2850968,-0.14074033,-0.15396592,0.16379297,0.1946142,-0.06084051,-0.27072665,0.037593253,0.09224943,-0.15746908,0.41294792,0.09316506,-0.05849931,0.15379131,0.1303793,-0.068684906,-0.24806376,0.09258143,-0.2889083,0.23528077,0.07633443,0.13334742,-0.03440277,-0.0047435192,0.19261874,-0.042102844,-0.03708922,-0.13655639,-0.022569416,0.036091615,-0.11720743,-0.11668414,-0.109736584,0.13174215,0.20608091,-0.1042763,0.005262315,-0.18552041,-0.09304945,-0.048636217,-0.06391608,-0.059806712,0.09208902,-0.0014092214,-0.1256659,0.441928,-0.015891844,0.03876832,0.027678726,-0.123579346,0.07844968,-0.3504587,-0.40177017,0.15265547,0.50686634,0.038068242,0.21516764,-0.18555224,-0.21376346,-0.14888981,0.05872471,-0.16375442,-0.17419276,-0.0201152,0.15209557,-0.33585337,-0.09279208,-0.026966952,-0.082851864,0.06914006,0.16624345,0.27787834,-0.28985772,0.1012392,0.052954033,-0.36762106,0.24937613,-0.033070277,-0.17336941,0.03955238,0.13076425,-0.105902635,-0.25681323,0.17311752,0.043845773,0.06349298,-0.08409565,0.33347568,-0.14413977,-0.07780153,-0.097007036,0.23603782,0.046742324,0.23949668,0.14599852,-0.30503744,0.25165072,-0.09084599,-0.2450828,-0.12852544,-0.25628987,-0.05990438,0.1379286,-0.0534447,0.042534012,0.07269649,0.15242144,0.20793821,0.094547845,-0.13138731,0.29569003,-0.12386697,0.058210492,0.21337238,0.25295788,0.26562652,0.11721451,-0.10554574,-0.2830258,-0.041217823,-0.13378394,-0.040247075,-0.30139294,-0.10043417,0.14376637,0.050486423,-0.15372851,-0.03948625,0.2539289,-0.1962972
